subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
0,0,0.61203,0.612012,0.612012,3.41E+08,3.41E+08,3.41E+08,5.53E+10,5.53E+10,5.56E+10,5.56E+10,3.41E+08,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
1,195312,0.752982,0.237345,0.766147,184.528,58.1641,187.766,24320,24448,24504.6,24507.8,122.2,4000,3.2,5766.5,1817.628125,5867.6875
2,390625,0.616807,0.591427,0.638384,107.246,102.807,111.021,17280,17280,17382.8,17391,106.9,0,8.2,1307.878049,1253.743902,1353.914634
3,585938,0.728188,0.38976,1.26675,111.379,59.6006,193.785,15104,15232,15281,15313.7,129.35,391.4373089,32.7,340.6085627,182.2648318,592.6146789
4,781250,0.716875,0.274015,0.737744,102.59,39.2148,105.598,14208,14272,14303.4,14313.6,68.5,627.4509804,10.2,1005.784314,384.4588235,1035.27451
5,976562,0.691267,0.628467,0.748221,96.2274,87.4287,104.214,13824,13824,13911.4,13928.2,95.8,0,16.8,572.7821429,520.4089286,620.3214286
6,1.17E+06,0.659577,0.347709,0.859603,91.0855,48.0117,118.752,13696,13760,13803.7,13817.3,82.5,470.5882353,13.6,669.7463235,353.0272059,873.1764706
7,1.37E+06,0.503191,0.440133,0.539997,69.5897,60.8301,74.707,13760,13760,13820.8,13834.7,67.75,0,13.9,500.6453237,437.6266187,537.4604317
8,1.56E+06,0.863308,0.826364,0.916821,120.383,115.188,127.914,13824,13824,13939.2,13951.9,121.55,0,12.7,947.8976378,906.992126,1007.19685
9,1.76E+06,0.822683,0.721654,0.883105,115.734,101.417,124.309,13952,13952,14053.4,14076.3,112.85,0,22.9,505.3886463,442.8689956,542.8340611
10,1.95E+06,0.673612,0.493518,1.00425,95.3877,69.832,142.184,14016,14080,14145,14173,111,228.5714286,28,340.6703571,249.4,507.8
11,2.15E+06,0.753068,0.382514,0.933844,106.953,54.3105,132.725,14080,14144,14180.8,14218,87.4,172.0430108,37.2,287.5080645,145.9959677,356.7876344
12,2.34E+06,0.681642,0.445818,0.994164,96.801,63.3389,140.741,14016,14144,14155.9,14226.1,111,182.3361823,70.2,137.8931624,90.22635328,200.485755
13,2.54E+06,0.720178,0.50237,1.01465,102.081,71.0908,143.671,14016,14080,14139.4,14198.7,121.05,107.925801,59.3,172.143339,119.8833052,242.2782462
14,2.73E+06,0.77643,0.568012,1.07841,109.529,80.0674,152.101,13952,14016,14071.8,14128.4,116.1,113.0742049,56.6,193.5141343,141.4618375,268.729682
15,2.93E+06,0.833924,0.691742,1.16986,116.787,96.7383,163.636,13824,13888,13982.5,14019.4,144.95,173.4417344,36.9,316.495935,262.1634146,443.4579946
16,3.13E+06,0.608084,0.440723,0.716402,84.5816,61.1953,99.75,13824,13824,13885.2,13923.8,80.5,0,38.6,219.1233161,158.5370466,258.4196891
17,3.32E+06,0.576222,0.332371,0.866498,79.5878,45.8867,119.713,13696,13760,13790.9,13840.8,87.85,128.256513,49.9,159.4945892,91.95731463,239.9058116
18,3.52E+06,0.701525,0.51055,1.03991,95.8018,69.627,141.905,13504,13568,13622.4,13682.9,116.65,105.785124,60.5,158.3500826,115.0859504,234.553719
19,3.71E+06,0.739385,0.567979,1.14806,100.072,76.7725,155.348,13376,13440,13505,13555,122,128,50,200.144,153.545,310.696
20,3.91E+06,0.82325,0.595791,1.0846,110.527,79.7871,145.965,13312,13312,13391.8,13458,112.9,0,66.2,166.9592145,120.5243202,220.4909366
21,4.10E+06,0.60873,0.427353,0.996477,80.7364,56.584,132.054,13120,13184,13240.5,13280.3,108.4,160.8040201,39.8,202.8552764,142.1708543,331.7939698
