frequency (Hz);Avg Error %;Min Error %;Max Error %
0.0;4.8396186959900295e-05;4.83961869599003e-05;4.83961869599003e-05
195312.0;8.092177460086817e-05;1.5868666555879258e-06;0.00024932449091869045
390625.0;0.00011941836870316925;1.7151278164652574e-06;0.00032250658900877206
585938.0;9.522678074225316e-05;4.1835419338580895e-06;0.0002645432205853363
781250.0;0.00010786729078822983;1.0293310636121622e-05;0.0003307957999379085
976562.0;8.480816765055767e-05;6.882929875141817e-07;0.0003683559622921109
1171880.0;0.00010008481105269432;4.6539915681701795e-07;0.00042350142987451837
1367190.0;7.644316205579527e-05;2.246288712831305e-07;0.0002694614715143284
1562500.0;8.97780211300342e-05;4.1391550784033766e-06;0.00024477400638012094
1757810.0;7.959692935896789e-05;7.450044419797139e-07;0.000330293272748775
1953120.0;8.365641099159876e-05;2.0353028924768047e-06;0.0002313474715718991
2148440.0;9.015350793038426e-05;6.040133708917091e-07;0.00029379659878029843
2343750.0;9.384981680290351e-05;4.90364468062429e-07;0.00028678991952217587
2539060.0;0.00011334960149461376;4.452557209486241e-06;0.0003628450479066732
2734380.0;8.706317014382178e-05;5.205279288403967e-06;0.0002412889728057028
2929690.0;7.615107180765244e-05;1.4924446573478078e-07;0.0002602773966894433
3125000.0;8.670296303169338e-05;1.9057628178758985e-07;0.0002689813979292397
3320310.0;7.94385314856533e-05;3.7536872978224064e-07;0.0002057231984491508
3515620.0;8.043041880808609e-05;7.154235789012925e-07;0.0002340209282492006
3710940.0;8.661593590406486e-05;1.75003142513319e-06;0.00025025774040180593
3906250.0;0.00010378324987180806;4.631878146099572e-06;0.0003141583575541018
4101560.0;8.652231330364448e-05;5.999746043471674e-06;0.0002847078340796712
4296880.0;9.308749969084964e-05;1.9890294080977314e-06;0.0002744155949665924
4492190.0;8.771878644572857e-05;2.757475896371104e-07;0.00025432181962589884
4687500.0;9.187479645535159e-05;2.0171561795853082e-08;0.000303872644123956
4882810.0;0.00010368268688509777;1.0854305445761758e-07;0.0003016444314144911
5078120.0;8.545701593956528e-05;9.910061209012294e-07;0.00022572724130287203
5273440.0;9.616675079822184e-05;1.6345133144646732e-08;0.00042162721214473764
5273440.0;9.18031297825462e-05;2.968004739849999e-08;0.0002605459548860863
5468750.0;9.5610567179207e-05;4.0583680296168916e-07;0.0002885683475746975
5664060.0;0.00010956854883332179;4.316511730841041e-06;0.000318483017308358
5859380.0;9.889622014779986e-05;4.6061720868728173e-07;0.0004203677624680166
6054690.0;9.803540388160228e-05;3.94708022153151e-07;0.0002485064561118657
6250000.0;9.4059641688762e-05;2.5117832484389866e-08;0.0003154090284149405
6445310.0;0.00010695645879332166;2.8684931409556626e-06;0.0003154358069298274
6640620.0;0.00010490416473949872;1.8005240080660724e-07;0.0003116568262825154
6835940.0;0.00010177759750231825;1.2269904773078234e-06;0.0003145611423363357
7031250.0;8.778827696713642e-05;4.037219860369087e-07;0.00030222834273030164
7226560.0;9.406667595515494e-05;4.158493586394729e-06;0.00031410739666249153
7421880.0;9.163545321472505e-05;4.2589066152610807e-07;0.00025748493914986247
7617190.0;0.00010810053931420152;6.143218353918228e-06;0.0003102931486760763
7812500.0;0.00013860442700099713;6.137219294846794e-06;0.0005550635112256038
8007810.0;0.00039499095668428877;9.752549178420897e-07;0.008843954238760218
8203120.0;0.0001229324873935661;3.1234045202208794e-06;0.000645474643780432
8398440.0;0.0002074547922268932;7.089360239125367e-07;0.0017179175609176127
8593750.0;0.00017633096644063234;2.0475440130701375e-05;0.001582204187070149
8789060.0;0.00036358168011627;9.448581515182222e-07;0.0032427500178126467
8984380.0;0.0001800594313899402;1.103981674336912e-06;0.0016294920177517826
9179690.0;0.0003561785957107451;2.6417429018380675e-07;0.0033502375961693095
9375000.0;0.00025537395782959557;1.0820082664047114e-06;0.0026816372619032705
9570310.0;9.551803358414003e-05;1.2412039447218656e-06;0.0004834827947192302
